f,s11,idk
4.130000000000000E9,3.356726886166722E1,-4.538769446075425E1  
4.135000000000000E9,3.329011007323335E1,-4.483395216149607E1  
4.140000000000000E9,3.333167909952910E1,-4.453614398773705E1  
4.145000000000000E9,3.338278334174333E1,-4.473072026487512E1  
4.150000000000000E9,3.333779704251196E1,-4.503809427624518E1  
4.155000000000000E9,3.325849453204855E1,-4.515849971116557E1  
4.160000000000000E9,3.308236613440957E1,-4.530274949387184E1  
4.165000000000000E9,3.294073712600723E1,-4.536895627072246E1  
4.170000000000000E9,3.291530666502495E1,-4.505597134973340E1  
4.175000000000000E9,3.270763549119960E1,-4.555134030775013E1  
4.180000000000000E9,3.274694832314683E1,-4.588927721614610E1  
4.185000000000000E9,3.282616522829245E1,-4.602441586695991E1  
4.190000000000000E9,3.278412071218052E1,-4.583093151395251E1  
4.195000000000000E9,3.255642131919773E1,-4.585807022714211E1  
4.200000000000000E9,3.241076029246389E1,-4.541346296917985E1  
4.205000000000000E9,3.249849130034725E1,-4.663444311328910E1  
4.210000000000000E9,3.232494685167881E1,-4.715902767023165E1  
4.215000000000000E9,3.226745675643628E1,-4.757226890900220E1  
4.220000000000000E9,3.225478082864609E1,-4.723168647463788E1  
4.225000000000000E9,3.220843523421425E1,-4.681676794310868E1  
4.230000000000000E9,3.220432962449291E1,-4.594136956701781E1  
4.235000000000000E9,3.225730770217341E1,-4.661125398913449E1  
4.240000000000000E9,3.221369669403902E1,-4.679601744665462E1  
4.245000000000000E9,3.217416414242791E1,-4.666262833920229E1  
4.250000000000000E9,3.218948504501269E1,-4.698987726461451E1  
4.255000000000000E9,3.235195059379460E1,-4.726719783586098E1  
4.260000000000000E9,3.233022797286774E1,-4.774410104097289E1  
4.265000000000000E9,3.249455971972164E1,-4.831630441601763E1  
4.270000000000000E9,3.228179506744112E1,-4.833133650436908E1  
4.275000000000000E9,3.236414479142857E1,-4.841431827439827E1  
4.280000000000000E9,3.212940115675531E1,-4.821820342270106E1  
4.285000000000000E9,3.242749978072873E1,-4.861058947752138E1  
4.290000000000000E9,3.209281843192821E1,-4.819688069876668E1  
4.295000000000000E9,3.175464192779043E1,-4.736779009713641E1  
4.300000000000000E9,3.210934259604992E1,-4.727349757596251E1  
4.305000000000000E9,3.219825809778009E1,-4.737384234643350E1  
4.310000000000000E9,3.193764277974586E1,-4.713032839180072E1  
4.315000000000000E9,3.196220294149664E1,-4.738367570422775E1  
4.320000000000000E9,3.182160853030140E1,-4.832965677614394E1  
4.325000000000000E9,3.185477073634014E1,-4.764275493802871E1  
4.330000000000000E9,3.157253514540321E1,-4.723732020763791E1  
4.335000000000000E9,3.163508594251674E1,-4.717151721085010E1  
4.340000000000000E9,3.156541688662206E1,-4.804495520947528E1  
4.345000000000000E9,3.142142758581522E1,-4.791996992873975E1  
4.350000000000000E9,3.128843912867763E1,-4.846863719457785E1  
4.355000000000000E9,3.138240608975893E1,-4.878497738473572E1  
4.360000000000000E9,3.126793370877735E1,-4.876590359598445E1  
4.365000000000000E9,3.111491151211863E1,-4.861760702341868E1  
4.370000000000000E9,3.122374721790548E1,-4.879018132658468E1  
4.375000000000000E9,3.119053211086425E1,-4.929200424332269E1  
4.380000000000000E9,3.095883141724460E1,-4.833135019071809E1  
4.385000000000000E9,3.096532360805787E1,-4.873509014550571E1  
4.390000000000000E9,3.104330747945361E1,-4.899004315158900E1  
4.395000000000000E9,3.108005339811392E1,-4.908924309578304E1  
4.400000000000000E9,3.096663152517931E1,-4.903908652591964E1  
4.405000000000000E9,3.085048994766363E1,-4.895403848659424E1  
4.410000000000000E9,3.085905360946653E1,-4.893313052935951E1  
4.415000000000000E9,3.092237822171406E1,-5.094649839854477E1  
4.420000000000000E9,3.114861760939596E1,-5.233152231513064E1  
4.425000000000000E9,3.108966295670876E1,-5.196690643222857E1  
4.430000000000000E9,3.115965236280488E1,-5.147252814722028E1  
4.435000000000000E9,3.110736657477047E1,-5.076362863933878E1  
4.440000000000000E9,3.076972135976969E1,-5.018359946982849E1  
4.445000000000000E9,3.094241817595924E1,-5.104611719088006E1  
4.450000000000000E9,3.081870656975982E1,-5.101472194117514E1  
4.455000000000000E9,3.086905874114072E1,-5.113899804560383E1  
4.460000000000000E9,3.052333522420519E1,-5.072361752366722E1  
4.465000000000000E9,3.100616753702256E1,-5.189822927666980E1  
4.470000000000000E9,3.058938782619930E1,-5.077977825720868E1  
4.475000000000000E9,3.070815595483816E1,-5.123434102776926E1  
4.480000000000000E9,3.083642155491614E1,-5.166639902712873E1  
4.485000000000000E9,3.056072231437829E1,-5.177820549047833E1  
4.490000000000000E9,3.091878356498113E1,-5.191406718684399E1  
4.495000000000000E9,3.058069659439808E1,-5.175235730923582E1  
4.500000000000000E9,3.049825434797912E1,-5.100353647368530E1  
